127.0.0.1 - - [09/Jan/2018:21:35:11 +0900] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:35:13 +0900] "GET /ex7/init.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:35:15 +0900] "GET /ex7/get.jsp HTTP/1.1" 500 2547
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:36:35 +0900] "GET /ex7/init.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:36:37 +0900] "GET /ex7/get.jsp HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:57:49 +0900] "GET /ex7/login.html HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:57:52 +0900] "POST /ex7/ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:57:52 +0900] "GET /ex7/login.html HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:57:57 +0900] "POST /ex7/ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:57:57 +0900] "GET /ex7/welcome.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:58:14 +0900] "GET /ex7/welcome.jsp HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:58:17 +0900] "GET /ex7/logout.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:58:20 +0900] "GET /ex7/check.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:58:28 +0900] "GET /ex7/welcome.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:58:34 +0900] "GET /ex7/welcome.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:58:37 +0900] "GET /ex7/login.html HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:58:40 +0900] "GET /ex7/logout.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:58:42 +0900] "GET /ex7/check.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:58:52 +0900] "POST /ex7/ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:58:52 +0900] "GET /ex7/welcome.jsp HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [09/Jan/2018:21:59:06 +0900] "GET /ex7/check.jsp HTTP/1.1" 200 285
